table	sheet_pk_without_hospcode9	db_pk	missing_sheet_pk_columns_in_db	status
PERSON	HOSPCODE,PID	HOSPCODE,PID		OK
ADDRESS	HOSPCODE,PID,ADDRESSTYPE	HOSPCODE,PID,ADDRESSTYPE		OK
DEATH	HOSPCODE,PID,HOSP9_DEATH	HOSPCODE,PID	HOSP9_DEATH	MISSING_PK_COLUMN_IN_DB
CHRONIC	HOSPCODE,PID,DATE_DIAG,CHRONIC	HOSPCODE,PID,DATE_DIAG,CHRONIC		OK
CARD	HOSPCODE,PID,INSTYPE_NEW	HOSPCODE,PID,INSTYPE_NEW		OK
HOME	HOSPCODE,HID	HOSPCODE,HID		OK
VILLAGE	HOSPCODE,VID	HOSPCODE,VID		OK
DISABILITY	HOSPCODE,PID,DISABTYPE	HOSPCODE,PID,DISABTYPE		OK
PROVIDER	HOSPCODE,PROVIDER	HOSPCODE,PROVIDER		OK
WOMEN	HOSPCODE,PID	HOSPCODE,PID		OK
DRUGALLERGY	HOSPCODE,PID,DRUGALLERGY	HOSPCODE,PID,DRUGALLERGY		OK
FUNCTIONAL	HOSPCODE,PID,SEQ,FUNCTIONAL_TEST	HOSPCODE,PID,SEQ,FUNCTIONAL_TEST		OK
ICF	HOSPCODE,PID,SEQ,ICF	HOSPCODE,PID,SEQ,ICF		OK
SERVICE	HOSPCODE,SEQ,DATE_SERV	HOSPCODE,SEQ,DATE_SERV		OK
DIAGNOSIS_OPD	HOSPCODE,PID,SEQ,DATE_SERV,DIAGCODE	HOSPCODE,PID,SEQ,DATE_SERV,DIAGCODE		OK
DRUG_OPD	HOSPCODE,PID,SEQ,DATE_SERV,DIDSTD	HOSPCODE,PID,SEQ,DATE_SERV,DIDSTD		OK
PROCEDURE_OPD	HOSPCODE,PID,SEQ,DATE_SERV,PROCEDCODE	HOSPCODE,PID,SEQ,DATE_SERV,PROCEDCODE		OK
CHARGE_OPD	HOSPCODE,PID,SEQ,DATE_SERV,CHARGEITEM,CHARGELIST,INSTYPE	HOSPCODE,PID,SEQ,DATE_SERV,CHARGEITEM,CHARGELIST,INSTYPE		OK
SURVEILLANCE	HOSPCODE,PID,SEQ,DIAGCODE	HOSPCODE,PID,SEQ,DIAGCODE		OK
ACCIDENT	HOSPCODE,PID,SEQ,DATETIME_SERV	HOSPCODE,PID,SEQ,DATETIME_SERV		OK
LABFU	HOSPCODE,PID,DATE_SERV,LABTEST	HOSPCODE,PID,DATE_SERV,LABTEST		OK
CHRONICFU	HOSPCODE,PID,DATE_SERV	HOSPCODE,PID,DATE_SERV		OK
ADMISSION	HOSPCODE,PID,AN,DATETIME_DISCH	HOSPCODE,PID,AN,DATETIME_DISCH		OK
DIAGNOSIS_IPD	HOSPCODE,PID,AN,DATETIME_ADMIT,DIAGCODE	HOSPCODE,PID,AN,DATETIME_ADMIT,DIAGCODE		OK
DRUG_IPD	HOSPCODE,PID,AN,DATETIME_ADMIT,TYPEDRUG,DIDSTD	HOSPCODE,PID,AN,DATETIME_ADMIT,TYPEDRUG,DIDSTD		OK
PROCEDURE_IPD	HOSPCODE,PID,AN,DATETIME_ADMIT,PROCEDCODE,TIMESTART	HOSPCODE,PID,AN,DATETIME_ADMIT,PROCEDCODE,TIMESTART		OK
CHARGE_IPD	HOSPCODE,PID,AN,DATETIME_ADMIT,CHARGEITEM,CHARGELIST,INSTYPE	HOSPCODE,PID,AN,DATETIME_ADMIT,CHARGEITEM,CHARGELIST,INSTYPE		OK
APPOINTMENT	HOSPCODE,PID,SEQ,DATE_SERV,APTYPE	HOSPCODE,PID,SEQ,DATE_SERV,APTYPE		OK
DENTAL	HOSPCODE,PID,SEQ,DATE_SERV	HOSPCODE,PID,SEQ,DATE_SERV		OK
REHABILITATION	HOSPCODE,PID,DATE_SERV,REHABCODE	HOSPCODE,PID,DATE_SERV,REHABCODE		OK
NCDSCREEN	HOSPCODE,PID,DATE_SERV	HOSPCODE,PID,DATE_SERV		OK
FP	HOSPCODE,PID,DATE_SERV,FPTYPE	HOSPCODE,PID,DATE_SERV,FPTYPE		OK
PRENATAL	HOSPCODE,PID,GRAVIDA	HOSPCODE,PID,GRAVIDA		OK
ANC	HOSPCODE,PID,DATE_SERV	HOSPCODE,PID,DATE_SERV		OK
LABOR	HOSPCODE,PID,GRAVIDA,BDATE	HOSPCODE,PID,GRAVIDA,BDATE		OK
POSTNATAL	HOSPCODE,PID,GRAVIDA,PPCARE	HOSPCODE,PID,GRAVIDA,PPCARE		OK
NEWBORN	HOSPCODE,PID,BDATE	HOSPCODE,PID,BDATE		OK
NEWBORNCARE	HOSPCODE,PID,BCARE	HOSPCODE,PID,BCARE		OK
EPI	HOSPCODE,PID,DATE_SERV,VACCINETYPE	HOSPCODE,PID,DATE_SERV,VACCINETYPE		OK
NUTRITION	HOSPCODE,PID,DATE_SERV	HOSPCODE,PID,DATE_SERV		OK
SPECIALPP	HOSPCODE,PID,DATE_SERV,PPSPECIAL	HOSPCODE,PID,DATE_SERV,PPSPECIAL		OK
COMMUNITY_ACTIVITY	HOSPCODE,VID,DATE_START,COMACTIVITY	HOSPCODE,VID,DATE_START,COMACTIVITY		OK
COMMUNITY_SERVICE	HOSPCODE,PID,SEQ,COMSERVICE	HOSPCODE,PID,SEQ,COMSERVICE		OK
CARE_REFER	HOSPCODE,REFERID,CARETYPE	HOSPCODE,REFERID,CARETYPE		OK
CLINICAL_REFER	HOSPCODE,REFERID,DATETIME_ASSESS,CLINICALCODE	HOSPCODE,REFERID,DATETIME_ASSESS,CLINICALCODE		OK
DRUG_REFER	HOSPCODE,REFERID,DATETIME_DSTART,DIDSTD	HOSPCODE,REFERID,DATETIME_DSTART,DIDSTD		OK
INVESTIGATION_REFER	HOSPCODE,REFERID,DATETIME_INVEST,INVESTCODE	HOSPCODE,REFERID,DATETIME_INVEST,INVESTCODE		OK
PROCEDURE_REFER	HOSPCODE,REFERID,TIMESTART,PROCEDCODE	HOSPCODE,REFERID,TIMESTART,PROCEDCODE		OK
REFER_HISTORY	HOSPCODE,REFERID	HOSPCODE,REFERID		OK
REFER_RESULT	HOSPCODE,REFERID_SOURCE,HOSP_SOURCE,HOSP9_SOURCE	HOSPCODE,REFERID_SOURCE,HOSP_SOURCE	HOSP9_SOURCE	MISSING_PK_COLUMN_IN_DB
DATA_CORRECT	D_UPDATE	D_UPDATE		OK
POLICY				OK_NO_PK_IN_SHEET
